AMD,CSCO,QCOM
120.62,47.755,129.47
119.83,48.04,128.7
118,53.28,128.92
119.88,53.17,127.36
116.79,52.23,123.85
118.59,52.59,124.21
113.49,52,120.1
113.59,53,120.06
113.45,53.13,120.72
111.75,53.29,119.93
112.25,53.01,119.52
107.83,52.75,117.36
108.04,52.19,110.89
98.5,52.13,108.99
96.18,51.57,107.83
96.43,51.56,106.46
93.67,51.37,105.62
96.055,52.4,104.78
101.67,53.01,109.39
100.01,52.2,108.66
101.81,52.93,108.63
102.4,53.32,111.28
102.17,53.77,110.98
105.14,53.94,112.2
106.46,54.16,110.51
105.09,53.77,108.66
108.79,53.85,111.455
108.31,53.66,111.12
109.01,53.87,112.31
106.97,53.92,111.8
107.24,53.45,110.88
102.91,53.07,109.8
104.07,53.45,109.85
100.08,53.65,110.19
103.27,54.39,111.1
102.82,53.76,111.06
102.76,53.88,111.1
98.07,53.2,109.19
95.96,52.71,109.72
97.38,53.48,110.43
96.2,53.57,107.68
96.11,53.34,107.96
100.34,55.5,109.22
101.61,55.84,110.72
102.37,56.11,112.75
101.49,56.04,113.14
106.63,56.37,114.04
107.71,56.28,112.64
105.31,56.39,111.23
105.32,56.84,110.28
106.09,56.67,106.14
106.59,56.79,106.4
109.28,57.16,114.68
110.78,57.26,116.55
109.45,57.84,115.385
105.72,57.35,114.53
106.59,56.81,113.27
105.92,56.56,113.78
102.61,56.2,111.68
102.25,55.7,110.32
101.8,55.24,108.51
109.43,55.98,111.17
105.66,55.46,109.47
108.22,55.44,110.68
105.45,55.04,110.1
104.44,54.73,110.08
107.19,52.96,110.15
111.35,53.35,111.68
111.98,53.88,114.02
107.57,53.79,114.61
110.23,53.37,115.61
110.47,52.99,116.57
113.23,53.06,117.66
116.81,53.01,119.34
115.82,52.63,121.5
113.15,53.15,118.7
109.35,52.58,129.27
117.6,52.66,132.08
114.4,52.04,132.17
112.96,52.09,129.48
111.1,53,125.85
110.09,53.22,124.02
113,53.6,125.07
110.61,53.11,124.1
110.95,52.63,124.72
110.25,52.37,120.72
116.43,52.43,124.42
117.93,51.24,122.86
118.32,50.81,123.4
115.94,50.38,122.56
115.92,51.53,123.12
114.58,50.74,118.68
111.32,52.12,116.87
113.58,51.4,117.12
113.17,50.99,115.94
113.48,51.11,115.22
113.95,51.51,117.13
115.82,51.82,120.09
113.91,51.74,119.04
111.24,51.21,118.06
110.17,50.87,117.54
110.39,50.86,119.79
107.51,50.21,116.63
110.01,50.33,113.43
110.7,51.12,116.4
112.11,50.85,115.76
118.93,51.55,119.82
120.08,52.07,122.68
124.24,51.93,123.61
127.33,50.96,123.4
124.53,50.8,124.43
129.19,50.48,122.14
124.92,49.66,119.11
121.05,49.68,116.35
117.83,49.78,115.18
124.23,49.81,116.36
117.93,50.21,112.73
117.86,50.02,115.62
119.47,49.74,115.83
118.21,49.67,113.41
125.27,50.17,116
127.03,49.86,110.35
120.35,49.03,104.02
108.27,48.41,103.02
108.12,48.91,103.56
108,48.82,105.28
105.82,49.13,105.86
107.93,48.2,106.96
103.75,47.63,104.81
101.48,46.92,103.79
97.4,47.1,106.28
95.26,46.71,103.62
97.1,46.37,104.06
97.02,46.71,106.46
95.06,46.47,105.77
95.04,46.34,108.31
89.84,46.25,108.78
86.61,45.7,106.58
81.62,45.96,112.83
89.91,46.36,116.11
89.69,47.34,115.84
89.37,47.25,116.8
87.44,46.56,113.92
85.94,46.54,114.16
83.8,47.09,114.05
87.57,47.39,117.35
88.43,47.03,117.76
90.11,46.58,118.64
89.94,48.04,118.54
89.78,50.31,118.36
89.87,50.28,119.38
91.75,50.54,120.16
92.09,50.8,121.13
92.33,50.11,120.27
94.03,50.62,123.57
95.48,51.33,124.29
92.47,51.27,123
92.56,51.82,123.04
95.87,51.82,122.3
96.56,52.31,124.74
98.01,52.275,127.58
97.88,51.43,127.4
96.09,51.17,125.09
94.56,50.39,121.34
96.61,50.54,123.6
97.95,50.51,124.76
100.28,49.73,124.15
97.58,49.46,121.97
95.93,50.67,123.8
96.81,50.94,121.82
97.84,50.19,120.73
96.6,50.12,120.51
89.68,49.06,115.49
87.45,49.05,116.55
82.01,48.41,114.43
82.67,48.56,115.19
84.03,48.81,117.22
85.37,49.11,121.2
82.11,48.91,119.19
81.16,49.42,122.41
81.52,49.28,123.6
80.44,48.53,123.78
78.29,48.34,123.68
78.58,48.42,123.53
78.77,48.73,123.42
78.09,48.48,124.34
79.75,49.21,126.2
76.61,49.31,123.95
76.77,49.69,123.7
78.5,50.77,127.72
